"Building Type",Area/m2,"Building Area/ft2","Number of Floors"
"Small Office",511.16,5502,
"Medium Office",4982.19,53628,
"Large Office",46320.38,498588,
"Stand-alone Retail",2293.99,24692,
"Strip Mall",2090.32,22500,
"Primary School",6871,73959,
"Secondary School",19592,210886,
"Outpatient Healthcare",3804.01,40946,
Hospital,22436.18,241501,
"Small Hotel",4013.58,43202,
"Large Hotel",11345.29,122120,
"Warehouse (non-refrigerated)",4835.13,52045,
"Quick Service Restaurant",232.34,2501,
"Full Service Restaurant",511.15,5502,
"Mid-rise Apartment",3134.61,33741,
"High-rise Apartment",7836.48,84351,
